time,min_power,max_power
20200218:0710,46,442
20200218:0810,170,738
20200218:0910,240,947
20200218:1010,180,1039
20200218:1110,225,997
20200218:1210,120,865
20200218:1310,92,631
20200218:1410,70,387
20200218:1510,1,113
20200218:1610,0,0
20200218:1710,0,0
20200218:1810,0,0
20200218:1910,0,0
20200218:2010,0,0
20200218:2110,0,0
20200218:2210,0,0
20200218:2310,0,0
20200219:0010,0,0
20200219:0110,0,0
20200219:0210,0,0
20200219:0310,0,0
20200219:0410,0,0
20200219:0510,0,0
20200219:0610,11,120
20200219:0710,46,442
20200219:0810,170,738
20200219:0910,240,947
20200219:1010,180,1039
20200219:1110,225,1011
20200219:1210,120,874
20200219:1310,92,668
20200219:1410,110,387
20200219:1510,39,114
20200219:1610,0,0
20200219:1710,0,0
20200219:1810,0,0
20200219:1910,0,0
20200219:2010,0,0
20200219:2110,0,0
20200219:2210,0,0
20200219:2310,0,0
20200220:0010,0,0
20200220:0110,0,0
20200220:0210,0,0
20200220:0310,0,0
20200220:0410,0,0
20200220:0510,0,0
20200220:0610,11,120
20200220:0710,46,442
20200220:0810,117,738
20200220:0910,240,947
20200220:1010,171,1039
20200220:1110,225,1011
20200220:1210,120,874
20200220:1310,92,668
20200220:1410,110,387
20200220:1510,39,114
20200220:1610,0,0
20200220:1710,0,0
20200220:1810,0,0
20200220:1910,0,0
20200220:2010,0,0
20200220:2110,0,0
20200220:2210,0,0
20200220:2310,0,0
20200221:0010,0,0
20200221:0110,0,0
20200221:0210,0,0
20200221:0310,0,0
20200221:0410,0,0
20200221:0510,0,0
20200221:0610,11,154
20200221:0710,46,496
20200221:0810,117,810
20200221:0910,240,947
20200221:1010,151,1039
20200221:1110,225,1011
20200221:1210,120,874
20200221:1310,92,668
20200221:1410,110,387
20200221:1510,47,121
20200221:1610,0,0
20200221:1710,0,0
20200221:1810,0,0
20200221:1910,0,0
20200221:2010,0,0
20200221:2110,0,0
20200221:2210,0,0
20200221:2310,0,0
20200222:0010,0,0
20200222:0110,0,0
20200222:0210,0,0
20200222:0310,0,0
20200222:0410,0,0
20200222:0510,0,0
20200222:0610,11,174
20200222:0710,46,537
20200222:0810,117,837
20200222:0910,240,1052
20200222:1010,151,1156
20200222:1110,225,1129
20200222:1210,120,966
20200222:1310,92,686
20200222:1410,110,387
20200222:1510,47,121
20200222:1610,0,0
20200222:1710,0,0
